flt_id,日期,航司,航班号,计划起飞,实际起飞,计划降落,实际降落,实际上轮档,计划始发站,实际始发站,计划到达站,实际到达站,month_of_year,week_of_year,day_of_week,day_of_year,minutes_of_day,计划飞行时长,实际飞行时长,实际滑行时长,实际上轮档时长,机型
436458212,2024/3/13 0:00,MU,2240,2024/3/13 23:00,2024/3/13 23:03,2024/3/14 1:35,2024/3/14 1:15,2024/3/14 1:29,SHA,SHA,XIY,XIY,3,11,4,74,95,155,132,14,146,320
436812923,2024/3/13 0:00,MU,2160,2024/3/13 17:15,2024/3/13 17:19,2024/3/13 19:45,2024/3/13 19:38,2024/3/13 19:42,SHA,SHA,XIY,XIY,3,11,3,73,1185,150,139,4,143,919
436588782,2024/3/13 0:00,MU,2152,2024/3/13 8:20,2024/3/13 8:38,2024/3/13 10:45,2024/3/13 10:47,2024/3/13 10:52,SHA,SHA,XIY,XIY,3,11,3,73,645,145,129,5,134,919
436470583,2024/3/13 0:00,MU,2202,2024/3/13 18:20,2024/3/13 18:11,2024/3/13 20:40,2024/3/13 20:13,2024/3/13 20:20,TAO,TAO,XIY,XIY,3,11,3,73,1240,140,122,7,129,320
436840857,2024/3/13 0:00,MU,6879,2024/3/13 9:05,2024/3/13 8:57,2024/3/13 10:15,2024/3/13 9:52,2024/3/13 10:02,LHW,LHW,XIY,XIY,3,11,3,73,615,70,55,10,65,325
436461639,2024/3/13 0:00,MU,2263,2024/3/13 9:20,2024/3/13 9:24,2024/3/13 11:35,2024/3/13 11:33,2024/3/13 11:46,KMG,KMG,XIY,XIY,3,11,3,73,695,135,129,13,142,73M
436819588,2024/3/13 0:00,MU,2272,2024/3/13 18:45,2024/3/13 18:53,2024/3/13 21:55,2024/3/13 21:48,2024/3/13 21:59,CGQ,CGQ,XIY,XIY,3,11,3,73,1315,190,175,11,186,32L
436820958,2024/3/13 0:00,MU,6924,2024/3/13 19:10,2024/3/13 19:18,2024/3/13 21:20,2024/3/13 20:58,2024/3/13 21:12,TSN,TSN,XIY,XIY,3,11,3,73,1280,130,100,14,114,320
436566624,2024/3/13 0:00,MU,9970,2024/3/13 8:25,2024/3/13 8:34,2024/3/13 9:40,2024/3/13 9:26,2024/3/13 9:36,UYN,UYN,XIY,XIY,3,11,3,73,580,75,52,10,62,32L
436592717,2024/3/13 0:00,MU,2174,2024/3/13 17:35,2024/3/13 17:44,2024/3/13 21:25,2024/3/13 20:47,2024/3/13 21:02,HRB,HRB,XIY,XIY,3,11,3,73,1285,230,183,15,198,73L
436501667,2024/3/13 0:00,MU,2120,2024/3/13 21:30,2024/3/13 21:41,2024/3/13 23:40,2024/3/13 23:13,2024/3/13 23:24,PKX,PKX,XIY,XIY,3,11,3,73,1420,130,92,11,103,320
436746791,2024/3/13 0:00,MU,2121,2024/3/13 8:55,2024/3/13 9:10,2024/3/13 10:55,2024/3/13 10:51,2024/3/13 10:59,PKX,PKX,XIY,XIY,3,11,3,73,655,120,101,8,109,32L
436543835,2024/3/13 0:00,MU,2262,2024/3/13 10:25,2024/3/13 10:34,2024/3/13 11:45,2024/3/13 11:44,2024/3/13 11:49,CKG,CKG,XIY,XIY,3,11,3,73,705,80,70,5,75,32L
436747337,2024/3/13 0:00,MU,2342,2024/3/13 19:20,2024/3/13 19:20,2024/3/13 21:50,2024/3/13 21:46,2024/3/13 21:53,ZUH,ZUH,XIY,XIY,3,11,3,73,1310,150,146,7,153,32L
436502083,2024/3/13 0:00,MU,2350,2024/3/13 22:50,2024/3/13 22:48,2024/3/14 0:05,2024/3/13 23:52,2024/3/14 0:09,XNN,XNN,XIY,XIY,3,11,4,74,5,75,64,17,81,320
436755717,2024/3/13 0:00,MU,2264,2024/3/13 17:00,2024/3/13 17:09,2024/3/13 20:10,2024/3/13 19:59,2024/3/13 20:13,SHE,SHE,XIY,XIY,3,11,3,73,1210,190,170,14,184,73M
436697004,2024/3/13 0:00,MU,6202,2024/3/13 18:25,2024/3/13 18:26,2024/3/13 20:20,2024/3/13 19:50,2024/3/13 20:05,YZY,YZY,XIY,XIY,3,11,3,73,1220,115,84,15,99,320
436712170,2024/3/13 0:00,MU,2368,2024/3/13 12:35,2024/3/13 12:42,2024/3/13 15:35,2024/3/13 15:20,2024/3/13 15:25,HAK,HAK,XIY,XIY,3,11,3,73,935,180,158,5,163,325
436865886,2024/3/13 0:00,MU,2398,2024/3/13 15:30,2024/3/13 15:59,2024/3/13 18:00,2024/3/13 18:08,2024/3/13 18:12,HGH,HGH,XIY,XIY,3,11,3,73,1080,150,129,4,133,325
436802471,2024/3/13 0:00,MU,2108,2024/3/13 12:45,2024/3/13 12:53,2024/3/13 14:45,2024/3/13 14:25,2024/3/13 14:34,PKX,PKX,XIY,XIY,3,11,3,73,885,120,92,9,101,325
436518282,2024/3/13 0:00,MU,2885,2024/3/13 17:40,2024/3/13 17:54,2024/3/13 20:00,2024/3/13 19:55,2024/3/13 20:00,WUX,WUX,XIY,XIY,3,11,3,73,1200,140,121,5,126,321
436824811,2024/3/13 0:00,MU,2165,2024/3/13 13:15,2024/3/13 13:18,2024/3/13 15:25,2024/3/13 15:03,2024/3/13 15:08,JGN,JGN,XIY,XIY,3,11,3,73,925,130,105,5,110,32L
436601159,2024/3/13 0:00,MU,2955,2024/3/13 19:55,2024/3/13 20:06,2024/3/13 21:55,2024/3/13 22:03,2024/3/13 22:11,CZX,CZX,XIY,XIY,3,11,3,73,1315,120,117,8,125,320
436867424,2024/3/13 0:00,MU,6158,2024/3/13 11:45,2024/3/13 12:03,2024/3/13 14:30,2024/3/13 14:18,2024/3/13 14:24,PVG,PVG,XIY,XIY,3,11,3,73,870,165,135,6,141,32L
436628003,2024/3/13 0:00,MU,2386,2024/3/13 16:40,2024/3/13 16:44,2024/3/13 20:35,2024/3/13 20:19,2024/3/13 20:34,HTN,HTN,XIY,XIY,3,11,3,73,1235,235,215,15,230,32L
436541902,2024/3/13 0:00,MU,2214,2024/3/13 10:55,2024/3/13 11:27,2024/3/13 14:15,2024/3/13 14:10,2024/3/13 14:17,XMN,XMN,XIY,XIY,3,11,3,73,855,200,163,7,170,32L
436475798,2024/3/13 0:00,MU,2208,2024/3/13 19:20,2024/3/13 19:38,2024/3/13 21:35,2024/3/13 21:25,2024/3/13 21:29,KMG,KMG,XIY,XIY,3,11,3,73,1295,135,107,4,111,32L
436854010,2024/3/13 0:00,MU,2266,2024/3/13 19:10,2024/3/13 19:16,2024/3/13 21:05,2024/3/13 20:50,2024/3/13 20:55,CSX,CSX,XIY,XIY,3,11,3,73,1265,115,94,5,99,32L
436562679,2024/3/13 0:00,MU,2104,2024/3/13 10:00,2024/3/13 10:01,2024/3/13 12:15,2024/3/13 11:36,2024/3/13 11:45,PKX,PKX,XIY,XIY,3,11,3,73,735,135,95,9,104,32L
436570517,2024/3/13 0:00,MU,6524,2024/3/13 10:20,2024/3/13 10:16,2024/3/13 12:25,2024/3/13 12:00,2024/3/13 12:05,DOY,DOY,XIY,XIY,3,11,3,73,745,125,104,5,109,32L
436761207,2024/3/13 0:00,MU,2106,2024/3/13 11:00,2024/3/13 11:10,2024/3/13 13:15,2024/3/13 13:19,2024/3/13 13:23,PKX,PKX,XIY,XIY,3,11,3,73,795,135,129,4,133,32L
436581992,2024/3/13 0:00,MU,2362,2024/3/13 21:55,2024/3/13 22:04,2024/3/14 0:10,2024/3/13 23:53,2024/3/14 0:07,KMG,KMG,XIY,XIY,3,11,4,74,10,135,109,14,123,32L
436688171,2024/3/13 0:00,MU,2114,2024/3/13 17:00,2024/3/13 17:06,2024/3/13 19:25,2024/3/13 18:40,2024/3/13 18:49,PKX,PKX,XIY,XIY,3,11,3,73,1165,145,94,9,103,32L
436765845,2024/3/13 0:00,MU,2138,2024/3/13 16:55,2024/3/13 16:57,2024/3/13 20:00,2024/3/13 19:13,2024/3/13 19:17,FOC,FOC,XIY,XIY,3,11,3,73,1200,185,136,4,140,32L
436691441,2024/3/13 0:00,MU,9924,2024/3/13 19:05,2024/3/13 19:07,2024/3/13 21:30,2024/3/13 21:04,2024/3/13 21:08,YNT,YNT,XIY,XIY,3,11,3,73,1290,145,117,4,121,32L
436750574,2024/3/13 0:00,MU,9906,2024/3/13 21:05,2024/3/13 21:18,2024/3/14 0:05,2024/3/13 23:41,2024/3/13 23:47,XMN,XMN,XIY,XIY,3,11,4,74,5,180,143,6,149,32L
436608340,2024/3/13 0:00,MU,5725,2024/3/13 15:15,2024/3/13 15:15,2024/3/13 17:30,2024/3/13 17:12,2024/3/13 17:19,DLU,DLU,XIY,XIY,3,11,3,73,1050,135,117,7,124,737
436619356,2024/3/13 0:00,MU,2082,2024/3/13 1:05,2024/3/13 0:57,2024/3/13 6:05,2024/3/13 4:58,2024/3/13 5:06,HKT,HKT,XIY,XIY,3,11,3,73,365,300,241,8,249,32L
436537724,2024/3/13 0:00,MU,2276,2024/3/13 17:50,2024/3/13 17:46,2024/3/13 19:00,2024/3/13 18:36,2024/3/13 18:45,UYN,UYN,XIY,XIY,3,11,3,73,1140,70,50,9,59,319
436732656,2024/3/13 0:00,MU,6160,2024/3/13 21:15,2024/3/13 21:34,2024/3/13 23:50,2024/3/13 23:57,2024/3/14 0:03,SZX,SZX,XIY,XIY,3,11,3,73,1430,155,143,6,149,32L
436620697,2024/3/13 0:00,MU,2320,2024/3/13 14:50,2024/3/13 18:00,2024/3/13 16:55,2024/3/13 19:58,2024/3/13 20:02,JGS,JGS,XIY,XIY,3,11,3,73,1015,125,118,4,122,320
436878076,2024/3/13 0:00,MU,2292,2024/3/13 14:50,2024/3/13 15:09,2024/3/13 16:05,2024/3/13 16:11,2024/3/13 16:14,XAI,XAI,XIY,XIY,3,11,3,73,965,75,62,3,65,320
436585473,2024/3/13 0:00,MU,2200,2024/3/13 9:20,2024/3/13 9:19,2024/3/13 11:50,2024/3/13 11:24,2024/3/13 11:29,YNT,YNT,XIY,XIY,3,11,3,73,710,150,125,5,130,320
436467625,2024/3/13 0:00,MU,2159,2024/3/13 12:05,2024/3/13 12:03,2024/3/13 12:55,2024/3/13 12:43,2024/3/13 12:53,ENY,ENY,XIY,XIY,3,11,3,73,775,50,40,10,50,319
436561461,2024/3/13 0:00,MU,2182,2024/3/13 10:55,2024/3/13 10:56,2024/3/13 13:20,2024/3/13 12:48,2024/3/13 12:53,KMG,KMG,XIY,XIY,3,11,3,73,800,145,112,5,117,320
436654905,2024/3/13 0:00,MU,9872,2024/3/13 21:10,2024/3/13 21:27,2024/3/14 0:55,2024/3/14 1:02,2024/3/14 1:15,QSZ,QSZ,XIY,XIY,3,11,4,74,55,225,215,13,228,319
436643163,2024/3/13 0:00,MU,2336,2024/3/13 16:00,2024/3/13 16:25,2024/3/13 18:50,2024/3/13 18:45,2024/3/13 18:52,LXA,LXA,XIY,XIY,3,11,3,73,1130,170,140,7,147,319
436599420,2024/3/13 0:00,MU,2314,2024/3/13 17:55,2024/3/13 17:49,2024/3/13 19:30,2024/3/13 18:55,2024/3/13 18:59,XNN,XNN,XIY,XIY,3,11,3,73,1170,95,66,4,70,319
436735256,2024/3/13 0:00,MU,2424,2024/3/13 11:55,2024/3/13 12:19,2024/3/13 14:05,2024/3/13 14:24,2024/3/13 14:31,WHA,WHA,XIY,XIY,3,11,3,73,845,130,125,7,132,319
436858053,2024/3/13 0:00,MU,2288,2024/3/13 9:45,2024/3/13 9:49,2024/3/13 10:50,2024/3/13 10:43,2024/3/13 10:51,UYN,UYN,XIY,XIY,3,11,3,73,650,65,54,8,62,320
436887933,2024/3/13 0:00,MU,2298,2024/3/13 17:15,2024/3/13 17:20,2024/3/13 20:05,2024/3/13 19:32,2024/3/13 19:36,DLC,DLC,XIY,XIY,3,11,3,73,1205,170,132,4,136,320
436822323,2024/3/13 0:00,MU,2118,2024/3/13 20:00,2024/3/13 20:05,2024/3/13 22:10,2024/3/13 21:37,2024/3/13 21:42,PKX,PKX,XIY,XIY,3,11,3,73,1330,130,92,5,97,320
436798136,2024/3/13 0:00,MU,2300,2024/3/13 21:30,2024/3/13 21:20,2024/3/14 0:55,2024/3/14 0:00,2024/3/14 0:06,URC,URC,XIY,XIY,3,11,4,74,55,205,160,6,166,325
436820089,2024/3/13 0:00,MU,2216,2024/3/13 16:30,2024/3/13 16:28,2024/3/13 19:00,2024/3/13 18:21,2024/3/13 18:29,DNH,DNH,XIY,XIY,3,11,3,73,1140,150,113,8,121,320
436751679,2024/3/13 0:00,MU,2166,2024/3/13 18:35,2024/3/13 18:46,2024/3/13 20:55,2024/3/13 20:58,2024/3/13 21:08,SHA,SHA,XIY,XIY,3,11,3,73,1255,140,132,10,142,320
436526847,2024/3/13 0:00,MU,2184,2024/3/13 10:45,2024/3/13 11:10,2024/3/13 14:10,2024/3/13 14:00,2024/3/13 14:09,SHE,SHE,XIY,XIY,3,11,3,73,850,205,170,9,179,32L
436618158,2024/3/13 0:00,MU,6206,2024/3/13 12:15,2024/3/13 12:34,2024/3/13 14:55,2024/3/13 14:48,2024/3/13 14:53,CAN,CAN,XIY,XIY,3,11,3,73,895,160,134,5,139,325
436680763,2024/3/13 0:00,MU,2391,2024/3/13 13:40,2024/3/13 14:18,2024/3/13 16:15,2024/3/13 16:47,2024/3/13 16:57,WNZ,WNZ,XIY,XIY,3,11,3,73,975,155,149,10,159,319
436452632,2024/3/13 0:00,MU,5277,2024/3/13 13:55,2024/3/13 14:00,2024/3/13 16:50,2024/3/13 16:31,2024/3/13 16:35,NGB,NGB,XIY,XIY,3,11,3,73,1010,175,151,4,155,319
436742178,2024/3/13 0:00,MU,2110,2024/3/13 14:00,2024/3/13 14:14,2024/3/13 16:15,2024/3/13 15:46,2024/3/13 15:58,PKX,PKX,XIY,XIY,3,11,3,73,975,135,92,12,104,325
436698944,2024/3/13 0:00,MU,2340,2024/3/13 13:55,2024/3/13 13:57,2024/3/13 17:10,2024/3/13 16:44,2024/3/13 16:48,SYX,SYX,XIY,XIY,3,11,3,73,1030,195,167,4,171,325
436690954,2024/3/13 0:00,MU,2324,2024/3/13 19:45,2024/3/13 19:48,2024/3/13 21:00,2024/3/13 20:44,2024/3/13 20:51,UYN,UYN,XIY,XIY,3,11,3,73,1260,75,56,7,63,319
436584632,2024/3/13 0:00,MU,2380,2024/3/13 22:05,2024/3/13 22:05,2024/3/14 0:15,2024/3/14 0:15,2024/3/14 0:22,HGH,HGH,XIY,XIY,3,11,4,74,15,130,130,7,137,325
436549001,2024/3/13 0:00,FM,9203,2024/3/13 15:40,2024/3/13 16:01,2024/3/13 18:15,2024/3/13 18:14,2024/3/13 18:23,SHA,SHA,XIY,XIY,3,11,3,73,1095,155,133,9,142,325
436465876,2024/3/13 0:00,MU,2156,2024/3/13 13:20,2024/3/13 13:38,2024/3/13 15:50,2024/3/13 15:54,2024/3/13 15:59,SHA,SHA,XIY,XIY,3,11,3,73,950,150,136,5,141,320
436463162,2024/3/13 0:00,MU,2268,2024/3/13 21:35,2024/3/13 21:52,2024/3/13 22:50,2024/3/13 22:51,2024/3/13 22:57,CKG,CKG,XIY,XIY,3,11,3,73,1370,75,59,6,65,325
436653141,2024/3/13 0:00,MU,2378,2024/3/13 19:55,2024/3/13 19:56,2024/3/13 23:30,2024/3/13 23:07,2024/3/13 23:21,AAT,AAT,XIY,XIY,3,11,3,73,1410,215,191,14,205,32L
436766790,2024/3/13 0:00,MU,2142,2024/3/13 15:15,2024/3/13 15:12,2024/3/13 19:05,2024/3/13 18:10,2024/3/13 18:19,CGQ,CGQ,XIY,XIY,3,11,3,73,1145,230,178,9,187,32L
436704374,2024/3/13 0:00,MU,2304,2024/3/13 23:00,2024/3/13 23:10,2024/3/14 1:30,2024/3/14 1:24,2024/3/14 1:35,CAN,CAN,XIY,XIY,3,11,4,74,90,150,134,11,145,325
436863096,2024/3/13 0:00,MU,2224,2024/3/13 19:45,2024/3/13 20:10,2024/3/13 22:35,2024/3/13 22:18,2024/3/13 22:23,HGH,HGH,XIY,XIY,3,11,3,73,1355,170,128,5,133,32L
436441726,2024/3/13 0:00,MU,2322,2024/3/13 19:30,2024/3/13 19:16,2024/3/13 22:55,2024/3/13 22:20,2024/3/13 22:33,KRY,KRY,XIY,XIY,3,11,3,73,1375,205,184,13,197,319
436518695,2024/3/13 0:00,MU,2170,2024/3/13 20:35,2024/3/13 20:40,2024/3/13 23:10,2024/3/13 22:54,2024/3/13 23:02,SHA,SHA,XIY,XIY,3,11,3,73,1390,155,134,8,142,325
436589416,2024/3/13 0:00,MU,2334,2024/3/13 12:10,2024/3/13 12:27,2024/3/13 14:50,2024/3/13 14:56,2024/3/13 15:04,LXA,LXA,XIY,XIY,3,11,3,73,890,160,149,8,157,319
436450576,2024/3/13 0:00,MU,2737,2024/3/13 13:50,2024/3/13 14:04,2024/3/13 16:20,2024/3/13 16:04,2024/3/13 16:09,WUX,WUX,XIY,XIY,3,11,3,73,980,150,120,5,125,321
436582070,2024/3/13 0:00,MU,6296,2024/3/13 12:25,2024/3/13 12:20,2024/3/13 15:50,2024/3/13 15:29,2024/3/13 15:34,KRY,KRY,XIY,XIY,3,11,3,73,950,205,189,5,194,319
436646684,2024/3/13 0:00,MU,5552,2024/3/13 13:10,2024/3/13 13:07,2024/3/13 14:30,2024/3/13 14:06,2024/3/13 14:10,DSN,DSN,XIY,XIY,3,11,3,73,870,80,59,4,63,320
436823254,2024/3/13 0:00,MU,2172,2024/3/13 19:25,2024/3/13 19:25,2024/3/13 22:25,2024/3/13 21:59,2024/3/13 22:06,HAK,HAK,XIY,XIY,3,11,3,73,1345,180,154,7,161,32L
436800139,2024/3/13 0:00,MU,2312,2024/3/13 11:00,2024/3/13 11:15,2024/3/13 13:30,2024/3/13 13:33,2024/3/13 13:38,CAN,CAN,XIY,XIY,3,11,3,73,810,150,138,5,143,32L
436790277,2024/3/13 0:00,MU,2168,2024/3/13 19:55,2024/3/13 20:03,2024/3/13 22:30,2024/3/13 22:22,2024/3/13 22:27,SHA,SHA,XIY,XIY,3,11,3,73,1350,155,139,5,144,325
436743789,2024/3/13 0:00,MU,2376,2024/3/13 21:00,2024/3/13 20:52,2024/3/13 23:05,2024/3/13 22:31,2024/3/13 22:36,GOQ,GOQ,XIY,XIY,3,11,3,73,1385,125,99,5,104,319
436827207,2024/3/13 0:00,MU,2895,2024/3/13 18:30,2024/3/13 18:38,2024/3/13 20:40,2024/3/13 20:36,2024/3/13 20:43,NKG,NKG,XIY,XIY,3,11,3,73,1240,130,118,7,125,320
436571103,2024/3/13 0:00,MU,9962,2024/3/13 22:15,2024/3/13 22:17,2024/3/14 1:10,2024/3/14 0:44,2024/3/14 0:49,HYN,HYN,XIY,XIY,3,11,4,74,70,175,147,5,152,319
436886591,2024/3/13 0:00,MU,2356,2024/3/13 15:45,2024/3/13 15:37,2024/3/13 19:10,2024/3/13 18:33,2024/3/13 18:42,KRL,KRL,XIY,XIY,3,11,3,73,1150,205,176,9,185,319
436597284,2024/3/13 0:00,MU,2112,2024/3/13 16:00,2024/3/13 16:16,2024/3/13 18:10,2024/3/13 17:48,2024/3/13 17:54,PKX,PKX,XIY,XIY,3,11,3,73,1090,130,92,6,98,32L
436809963,2024/3/13 0:00,MU,2316,2024/3/13 8:35,2024/3/13 8:41,2024/3/13 11:35,2024/3/13 11:11,2024/3/13 11:16,FOC,FOC,XIY,XIY,3,11,3,73,695,180,150,5,155,319
436855907,2024/3/13 0:00,MU,2413,2024/3/13 6:25,2024/3/13 6:26,2024/3/13 8:40,2024/3/13 8:12,2024/3/13 8:18,TAO,TAO,XIY,XIY,3,11,3,73,520,135,106,6,112,32L
436848640,2024/3/13 0:00,MU,9914,2024/3/13 10:15,2024/3/13 10:22,2024/3/13 12:15,2024/3/13 11:57,2024/3/13 12:05,HFE,HFE,XIY,XIY,3,11,3,73,735,120,95,8,103,32L
436452923,2024/3/13 0:00,MU,6295,2024/3/13 10:35,2024/3/13 10:53,2024/3/13 13:25,2024/3/13 13:14,2024/3/13 13:20,PVG,PVG,XIY,XIY,3,11,3,73,805,170,141,6,147,32L
436768834,2024/3/13 0:00,MU,2301,2024/3/13 7:00,2024/3/13 7:02,2024/3/13 8:25,2024/3/13 7:54,2024/3/13 7:59,INC,INC,XIY,XIY,3,11,3,73,505,85,52,5,57,32L
436454895,2024/3/13 0:00,MU,2429,2024/3/13 7:10,2024/3/13 6:59,2024/3/13 8:55,2024/3/13 8:31,2024/3/13 8:35,TNA,TNA,XIY,XIY,3,11,3,73,535,105,92,4,96,32L
436643039,2024/3/13 0:00,MU,2204,2024/3/13 19:55,2024/3/13 19:49,2024/3/14 0:05,2024/3/13 23:31,2024/3/13 23:44,KHG,KHG,XIY,XIY,3,11,4,74,5,250,222,13,235,32L
436788557,2024/3/13 0:00,MU,2153,2024/3/13 7:00,2024/3/13 6:58,2024/3/13 8:35,2024/3/13 8:06,2024/3/13 8:11,XNN,XNN,XIY,XIY,3,11,3,73,515,95,68,5,73,320
436744135,2024/3/13 0:00,MU,2278,2024/3/13 20:20,2024/3/13 20:16,2024/3/13 21:25,2024/3/13 21:05,2024/3/13 21:17,UYN,UYN,XIY,XIY,3,11,3,73,1285,65,49,12,61,32L
436444581,2024/3/13 0:00,MU,2385,2024/3/13 7:45,2024/3/13 7:39,2024/3/13 9:35,2024/3/13 9:11,2024/3/13 9:15,HFE,HFE,XIY,XIY,3,11,3,73,575,110,92,4,96,32L
436596740,2024/3/13 0:00,MU,2140,2024/3/13 22:30,2024/3/13 22:45,2024/3/14 1:45,2024/3/14 1:20,2024/3/14 1:28,SYX,SYX,XIY,XIY,3,11,4,74,105,195,155,8,163,325
436458762,2024/3/13 0:00,MU,5551,2024/3/13 7:50,2024/3/13 7:46,2024/3/13 9:45,2024/3/13 9:17,2024/3/13 9:22,KHN,KHN,XIY,XIY,3,11,3,73,585,115,91,5,96,320
436598462,2024/3/13 0:00,MU,5715,2024/3/13 22:55,2024/3/13 22:59,2024/3/14 1:00,2024/3/14 0:23,2024/3/14 0:28,PKX,PKX,XIY,XIY,3,11,4,74,60,125,84,5,89,325
436589790,2024/3/13 0:00,MU,6955,2024/3/13 6:35,2024/3/13 6:38,2024/3/13 9:05,2024/3/13 8:45,2024/3/13 8:49,CAN,CAN,XIY,XIY,3,11,3,73,545,150,127,4,131,73L
436881985,2024/3/13 0:00,MU,2252,2024/3/13 7:30,2024/3/13 7:46,2024/3/13 10:45,2024/3/13 10:29,2024/3/13 10:37,URC,URC,XIY,XIY,3,11,3,73,645,195,163,8,171,325
436770154,2024/3/13 0:00,MU,9024,2024/3/13 21:20,2024/3/13 21:21,2024/3/14 1:00,2024/3/14 0:46,2024/3/14 0:57,YIN,YIN,XIY,XIY,3,11,4,74,60,220,205,11,216,319
436516719,2024/3/13 0:00,MU,2687,2024/3/13 7:50,2024/3/13 7:49,2024/3/13 10:00,2024/3/13 9:39,2024/3/13 9:44,WUX,WUX,XIY,XIY,3,11,3,73,600,130,110,5,115,320
436625702,2024/3/13 0:00,MU,2102,2024/3/13 8:00,2024/3/13 8:03,2024/3/13 10:05,2024/3/13 9:45,2024/3/13 9:56,PKX,PKX,XIY,XIY,3,11,3,73,605,125,102,11,113,32L
436614781,2024/3/13 0:00,MU,2236,2024/3/13 9:00,2024/3/13 9:03,2024/3/13 10:55,2024/3/13 10:33,2024/3/13 10:38,KHN,KHN,XIY,XIY,3,11,3,73,655,115,90,5,95,32L
